name,score,rank
Intel Core i5-4670K @ 3.40GHz,7633,480
Intel Core i5-4670K CPT @ 3.40GHz,7411,500
Intel Core i5-4670R @ 3.00GHz,7419,499
Intel Core i5-4670S @ 3.10GHz,7308,510
Intel Core i5-4670T @ 2.30GHz,6206,611
Intel Core i5-4690 @ 3.50GHz,7661,478
Intel Core i5-4690K @ 3.50GHz,7795,461
Intel Core i5-4690S @ 3.20GHz,7435,495
Intel Core i5-4690T @ 2.50GHz,6478,587
Intel Core i5-5200U @ 2.20GHz,3486,1087
Intel Core i5-5250U @ 1.60GHz,3585,1061
Intel Core i5-5257U @ 2.70GHz,4401,887
Intel Core i5-5287U @ 2.90GHz,4681,829
Intel Core i5-5300U @ 2.30GHz,3807,1007
Intel Core i5-5350U @ 1.80GHz,3517,1080
Intel Core i5-5575R @ 2.80GHz,7434,496
Intel Core i5-5675C @ 3.10GHz,8199,423
Intel Core i5-5675R @ 3.10GHz,8054,437
Intel Core i5-6198DU @ 2.30GHz,4146,940
Intel Core i5-6200U @ 2.30GHz,4014,961
Intel Core i5-6260U @ 1.80GHz,4362,896
Intel Core i5-6267U @ 2.90GHz,5004,778
Intel Core i5-6287U @ 3.10GHz,4751,821
Intel Core i5-6300HQ @ 2.30GHz,6081,627
Intel Core i5-6300U @ 2.40GHz,4372,893
Intel Core i5-6360U @ 2.00GHz,4880,799
Intel Core i5-6400 @ 2.70GHz,6764,559
Intel Core i5-6400T @ 2.20GHz,5598,681
Intel Core i5-6402P @ 2.80GHz,7095,529
Intel Core i5-6440EQ @ 2.70GHz,5778,656
Intel Core i5-6440HQ @ 2.60GHz,6784,557
Intel Core i5-650 @ 3.20GHz,3103,1197
Intel Core i5-6500 @ 3.20GHz,7242,515
Intel Core i5-6500T @ 2.50GHz,6269,606
Intel Core i5-6500TE @ 2.30GHz,6496,585
Intel Core i5-655K @ 3.20GHz,3399,1109
Intel Core i5-660 @ 3.33GHz,3248,1148
Intel Core i5-6600 @ 3.30GHz,7766,465
Intel Core i5-6600K @ 3.50GHz,8057,435
Intel Core i5-6600T @ 2.70GHz,7310,509
Intel Core i5-661 @ 3.33GHz,3182,1168
Intel Core i5-670 @ 3.47GHz,3310,1132
Intel Core i5-680 @ 3.60GHz,3513,1081
Intel Core i5-7200U @ 2.50GHz,4615,843
Intel Core i5-7260U @ 2.20GHz,5680,669
Intel Core i5-7267U @ 3.10GHz,5098,751
Intel Core i5-7287U @ 3.30GHz,5656,675
Intel Core i5-7300HQ @ 2.50GHz,6807,554
Intel Core i5-7300U @ 2.60GHz,5196,736
Intel Core i5-7360U @ 2.30GHz,5957,638
Intel Core i5-7400 @ 3.00GHz,7344,504
Intel Core i5-7400T @ 2.40GHz,6432,593
Intel Core i5-7440HQ @ 2.80GHz,7701,472
Intel Core i5-750 @ 2.67GHz,3694,1040
Intel Core i5-7500 @ 3.40GHz,8023,439
Intel Core i5-7500T @ 2.70GHz,7032,536
Intel Core i5-760 @ 2.80GHz,3888,986
Intel Core i5-7600 @ 3.50GHz,8774,387
Intel Core i5-7600K @ 3.80GHz,9128,349
Intel Core i5-7600T @ 2.80GHz,8097,433
Intel Core i5-7640X @ 4.00GHz,9598,310
Intel Core i5-7Y54 @ 1.20GHz,3584,1062
Intel Core i5-7Y57 @ 1.20GHz,3737,1027
Intel Core i5-8200Y @ 1.30GHz,4320,907
Intel Core i5-8250U @ 1.60GHz,7676,475
Intel Core i5-8259U @ 2.30GHz,10913,227
Intel Core i5-8265U @ 1.60GHz,8246,417
Intel Core i5-8300H @ 2.30GHz,9452,324
Intel Core i5-8305G @ 2.80GHz,8968,368
Intel Core i5-8350U @ 1.70GHz,8258,416
Intel Core i5-8400 @ 2.80GHz,11656,206
Intel Core i5-8400H @ 2.50GHz,10132,262
Intel Core i5-8400T @ 1.70GHz,9662,305
Intel Core i5-8500 @ 3.00GHz,11899,203
Intel Core i5-8500T @ 2.10GHz,10021,276
Intel Core i5-8600 @ 3.10GHz,12631,183
Intel Core i5-8600K @ 3.60GHz,12778,178
Intel Core i5-8600T @ 2.30GHz,10913,226
Intel Core i5-9600K @ 3.70GHz,13457,165
Intel Core i7-2600 @ 3.40GHz,8193,424
Intel Core i7-2600K @ 3.40GHz,8443,406
Intel Core i7-2600S @ 2.80GHz,7074,532
Intel Core i7-2617M @ 1.50GHz,2818,1291
Intel Core i7-2620M @ 2.70GHz,3835,998
Intel Core i7-2630QM @ 2.00GHz,5529,691
Intel Core i7-2635QM @ 2.00GHz,5456,699
Intel Core i7-2637M @ 1.70GHz,2903,1265
Intel Core i7-2640M @ 2.80GHz,3935,982
Intel Core i7-2655LE @ 2.20GHz,3161,1178
Intel Core i7-2670QM @ 2.20GHz,5885,645
Intel Core i7-2675QM @ 2.20GHz,5533,689
Intel Core i7-2677M @ 1.80GHz,2818,1290
Intel Core i7-2700K @ 3.50GHz,8712,388
Intel Core i7-2710QE @ 2.10GHz,5768,658
