name,score,rank
Intel Xeon E5-2670 v3 @ 2.30GHz,16303,93
Intel Xeon E5-2673 v2 @ 3.30GHz,16320,91
Intel Xeon E5-2673 v3 @ 2.40GHz,17071,76
Intel Xeon E5-2673 v4 @ 2.30GHz,21474,30
Intel Xeon E5-2675 v3 @ 1.80GHz,15156,120
Intel Xeon E5-2676 v3 @ 2.40GHz,17670,70
Intel Xeon E5-2678 v3 @ 2.50GHz,16905,79
Intel Xeon E5-2679 v4 @ 2.50GHz,25266,12
Intel Xeon E5-2680 @ 2.70GHz,12638,182
Intel Xeon E5-2680 v2 @ 2.80GHz,15861,107
Intel Xeon E5-2680 v3 @ 2.50GHz,18585,59
Intel Xeon E5-2680 v4 @ 2.40GHz,19886,46
Intel Xeon E5-2682 v4 @ 2.50GHz,21066,35
Intel Xeon E5-2683 v3 @ 2.00GHz,17415,71
Intel Xeon E5-2683 v4 @ 2.10GHz,19047,54
Intel Xeon E5-2685 v3 @ 2.60GHz,15004,123
Intel Xeon E5-2686 v3 @ 2.00GHz,19255,52
Intel Xeon E5-2686 v4 @ 2.30GHz,19801,47
Intel Xeon E5-2687W @ 3.10GHz,14381,136
Intel Xeon E5-2687W v2 @ 3.40GHz,16492,84
Intel Xeon E5-2687W v3 @ 3.10GHz,17720,68
Intel Xeon E5-2687W v4 @ 3.00GHz,19933,44
Intel Xeon E5-2689 @ 2.60GHz,13427,166
Intel Xeon E5-2689 v4 @ 3.10GHz,19892,45
Intel Xeon E5-2690 @ 2.90GHz,13713,156
Intel Xeon E5-2690 v2 @ 3.00GHz,16436,87
Intel Xeon E5-2690 v3 @ 2.60GHz,19295,51
Intel Xeon E5-2690 v4 @ 2.60GHz,21326,32
Intel Xeon E5-2692 v2 @ 2.20GHz,16018,100
Intel Xeon E5-2695 v2 @ 2.40GHz,15847,108
Intel Xeon E5-2695 v3 @ 2.30GHz,20081,41
Intel Xeon E5-2695 v4 @ 2.10GHz,20258,39
Intel Xeon E5-2696 v2 @ 2.50GHz,16620,83
Intel Xeon E5-2696 v3 @ 2.30GHz,22548,20
Intel Xeon E5-2696 v4 @ 2.20GHz,21077,34
Intel Xeon E5-2697 v2 @ 2.70GHz,17405,72
Intel Xeon E5-2697 v3 @ 2.60GHz,21365,31
Intel Xeon E5-2697 v4 @ 2.30GHz,21525,28
Intel Xeon E5-2697A v4 @ 2.60GHz,21875,25
Intel Xeon E5-2698 v3 @ 2.30GHz,21133,33
Intel Xeon E5-2698 v4 @ 2.20GHz,21836,26
Intel Xeon E5-2699 v3 @ 2.30GHz,22375,22
Intel Xeon E5-2699 v4 @ 2.20GHz,23200,19
Intel Xeon E5-4603 @ 2.00GHz,5014,774
Intel Xeon E5-4617 @ 2.90GHz,8684,393
Intel Xeon E5-4620 @ 2.20GHz,8127,430
Intel Xeon E5-4627 v3 @ 2.60GHz,14206,141
Intel Xeon E5-4627 v4 @ 2.60GHz,15516,111
Intel Xeon E5-4640 @ 2.40GHz,10523,242
Intel Xeon E5-4640 v3 @ 1.90GHz,12703,180
Intel Xeon E5-4648 v3 @ 1.70GHz,11097,219
Intel Xeon E5-4650 @ 2.70GHz,12117,196
Intel Xeon E5-4650L @ 2.60GHz,11821,204
Intel Xeon E5-4655 v3 @ 2.90GHz,12292,189
Intel Xeon E5-4657L v2 @ 2.40GHz,15896,106
Intel Xeon E5-4660 v3 @ 2.10GHz,15556,110
Intel Xeon E5-4669 v4 @ 2.20GHz,13626,159
Intel Xeon E5345 @ 2.33GHz,2923,1258
Intel Xeon E5405 @ 2.00GHz,2850,1282
Intel Xeon E5410 @ 2.33GHz,3267,1141
Intel Xeon E5420 @ 2.50GHz,3502,1084
Intel Xeon E5430 @ 2.66GHz,3774,1015
Intel Xeon E5440 @ 2.83GHz,3977,970
Intel Xeon E5450 @ 3.00GHz,4197,928
Intel Xeon E5462 @ 2.80GHz,3885,988
Intel Xeon E5472 @ 3.00GHz,4126,945
Intel Xeon E5506 @ 2.13GHz,2977,1239
Intel Xeon E5507 @ 2.27GHz,3137,1187
Intel Xeon E5520 @ 2.27GHz,4435,877
Intel Xeon E5530 @ 2.40GHz,4605,848
Intel Xeon E5540 @ 2.53GHz,4758,819
Intel Xeon E5606 @ 2.13GHz,3049,1216
Intel Xeon E5607 @ 2.27GHz,3387,1114
Intel Xeon E5620 @ 2.40GHz,4826,808
Intel Xeon E5630 @ 2.53GHz,5088,754
Intel Xeon E5640 @ 2.67GHz,5263,728
Intel Xeon E5645 @ 2.40GHz,6482,586
Intel Xeon E5649 @ 2.53GHz,6936,546
Intel Xeon E7- 2830 @ 2.13GHz,3118,1191
Intel Xeon Gold 5118 @ 2.30GHz,16389,88
Intel Xeon Gold 5120 @ 2.20GHz,16308,92
Intel Xeon Gold 5120T @ 2.20GHz,18145,66
Intel Xeon Gold 5122 @ 3.60GHz,11104,217
Intel Xeon Gold 6126 @ 2.60GHz,19711,48
Intel Xeon Gold 6128 @ 3.40GHz,15022,122
Intel Xeon Gold 6130 @ 2.10GHz,19060,53
Intel Xeon Gold 6132 @ 2.60GHz,23907,17
Intel Xeon Gold 6134 @ 3.20GHz,18083,67
Intel Xeon Gold 6136 @ 3.00GHz,21018,36
Intel Xeon Gold 6138 @ 2.00GHz,25416,11
Intel Xeon Gold 6140 @ 2.30GHz,23964,16
Intel Xeon Gold 6144 @ 3.50GHz,19654,49
Intel Xeon Gold 6146 @ 3.20GHz,25142,13
Intel Xeon Gold 6154 @ 3.00GHz,27722,6
Intel Xeon L3360 @ 2.83GHz,3864,991
Intel Xeon L3426 @ 1.87GHz,3837,996
Intel Xeon L5408 @ 2.13GHz,3037,1219
Intel Xeon L5410 @ 2.33GHz,3370,1119
Intel Xeon L5420 @ 2.50GHz,3504,1083
Intel Xeon L5430 @ 2.66GHz,3716,1031
Intel Xeon L5506 @ 2.13GHz,3715,1032
Intel Xeon L5520 @ 2.27GHz,4387,889
Intel Xeon L5530 @ 2.40GHz,4351,898
Intel Xeon L5630 @ 2.13GHz,4369,894
Intel Xeon L5638 @ 2.00GHz,5556,685
Intel Xeon L5639 @ 2.13GHz,6835,552
Intel Xeon L5640 @ 2.27GHz,6405,599
Intel Xeon L7455 @ 2.13GHz,3836,997
Intel Xeon Platinum 8124M @ 3.00GHz,26652,7
Intel Xeon Platinum 8173M @ 2.00GHz,28860,2
Intel Xeon Platinum 8175M @ 2.50GHz,28103,4
Intel Xeon Silver 4108 @ 1.80GHz,10883,228
Intel Xeon Silver 4109T @ 2.00GHz,10854,230
Intel Xeon Silver 4110 @ 2.10GHz,12020,199
Intel Xeon Silver 4112 @ 2.60GHz,8607,399
Intel Xeon Silver 4114 @ 2.20GHz,14278,139
Intel Xeon Silver 4116 @ 2.10GHz,15248,118
Intel Xeon Silver 4123 @ 3.00GHz,15185,119
Intel Xeon W-2102 @ 2.90GHz,7030,537
Intel Xeon W-2104 @ 3.20GHz,7782,464
Intel Xeon W-2123 @ 3.60GHz,10726,235
Intel Xeon W-2125 @ 4.00GHz,12363,188
Intel Xeon W-2133 @ 3.60GHz,14053,145
Intel Xeon W-2135 @ 3.70GHz,16325,90
Intel Xeon W-2140B @ 3.20GHz,18472,63
Intel Xeon W-2145 @ 3.70GHz,19601,50
Intel Xeon W-2150B @ 3.00GHz,21522,29
Intel Xeon W-2155 @ 3.30GHz,21790,27
Intel Xeon W-2195 @ 2.30GHz,24983,14
Intel Xeon W3520 @ 2.67GHz,5059,763
Intel Xeon W3530 @ 2.80GHz,5359,715
Intel Xeon W3540 @ 2.93GHz,5472,696
Intel Xeon W3550 @ 3.07GHz,5696,668
Intel Xeon W3565 @ 3.20GHz,5943,639
Intel Xeon W3570 @ 3.20GHz,6084,626
Intel Xeon W3580 @ 3.33GHz,6433,592
Intel Xeon W3670 @ 3.20GHz,8156,426
Intel Xeon W3680 @ 3.33GHz,9081,356
Intel Xeon W3690 @ 3.47GHz,9160,346
Intel Xeon W5580 @ 3.20GHz,5836,652
Intel Xeon W5590 @ 3.33GHz,6183,614
Intel Xeon X3220 @ 2.40GHz,3087,1202
Intel Xeon X3230 @ 2.66GHz,3425,1101
Intel Xeon X3320 @ 2.50GHz,3309,1133
Intel Xeon X3323 @ 2.50GHz,3167,1174
Intel Xeon X3330 @ 2.66GHz,3375,1117
Intel Xeon X3350 @ 2.66GHz,3847,994
Intel Xeon X3353 @ 2.66GHz,3853,993
Intel Xeon X3360 @ 2.83GHz,3955,975
Intel Xeon X3363 @ 2.83GHz,3998,966
Intel Xeon X3370 @ 3.00GHz,4286,912
Intel Xeon X3380 @ 3.16GHz,4665,831
Intel Xeon X3430 @ 2.40GHz,3361,1121
Intel Xeon X3440 @ 2.53GHz,4540,861
Intel Xeon X3450 @ 2.67GHz,4803,813
Intel Xeon X3460 @ 2.80GHz,5117,747
Intel Xeon X3470 @ 2.93GHz,5123,745
Intel Xeon X3480 @ 3.07GHz,5657,674
Intel Xeon X5355 @ 2.66GHz,3223,1156
Intel Xeon X5365 @ 3.00GHz,3491,1085
Intel Xeon X5450 @ 3.00GHz,4123,946
Intel Xeon X5460 @ 3.16GHz,4333,902
Intel Xeon X5470 @ 3.33GHz,4600,849
Intel Xeon X5472 @ 3.00GHz,4034,957
Intel Xeon X5482 @ 3.20GHz,4571,854
Intel Xeon X5492 @ 3.40GHz,4844,806
Intel Xeon X5550 @ 2.67GHz,5404,708
Intel Xeon X5560 @ 2.80GHz,5399,710
Intel Xeon X5570 @ 2.93GHz,5679,670
Intel Xeon X5647 @ 2.93GHz,5980,634
Intel Xeon X5650 @ 2.67GHz,7405,501
Intel Xeon X5660 @ 2.80GHz,7618,482
Intel Xeon X5667 @ 3.07GHz,6299,605
Intel Xeon X5670 @ 2.93GHz,7926,450
Intel Xeon X5672 @ 3.20GHz,6419,597
Intel Xeon X5675 @ 3.07GHz,8298,414
Intel Xeon X5677 @ 3.47GHz,6982,541
Intel Xeon X5679 @ 3.20GHz,8845,379
Intel Xeon X5680 @ 3.33GHz,8550,402
Intel Xeon X5687 @ 3.60GHz,7081,531
Intel Xeon X5690 @ 3.47GHz,8924,373
Intel Xeon X5698 @ 4.40GHz,4272,915
Intel Xeon X6550 @ 2.00GHz,2977,1238
Quad-Core AMD Opteron 1385,3442,1098
Quad-Core AMD Opteron 1389,3427,1100
Six-Core AMD Opteron 2419 EE,2925,1256
