,brand,core,clock(MHz),cuda_sp,video_interface,power_interface,legth(cm),warranty(years),price
91,EVGA ,GTX 1060,1835,1152,1*DVI-D / 1*HDMI / 3*DP,1*6pin,17.3,5,7990
92,EVGA ,GTX 1060,1835,1280,1*DVI-D / 1*HDMI / 3*DP,1*8pin,26.7,5,7990
93,影馳 ,GTX 1060,1733,1152,1*DVI-D / 1*HDMI / 1*DP,1*6pin,22.8,3,5490
94,影馳 ,GTX 1060,1771,1152,2*DVI-D / 1*HDMI / 1*DP,1*6pin,23.7,3,5490
95,影馳 ,GTX 1060,1733,1280,1*DVI-D / 1*HDMI / 1*DP,1*6pin,22.8,3,6690
96,影馳 ,GTX 1060,1771,1280,2*DVI-D / 1*HDMI / 1*DP,1*6pin,23.7,3,6690
97,INNO3D ,GTX 1060,1708,1152,2*DVI-D / 1*HDMI / 1*DP,1*6pin,22,3,5990
98,INNO3D ,GTX 1060,1708,1280,2*DVI-D / 1*HDMI / 1*DP,1*6pin,22,3,6990
99,INNO3D ,GTX 1060,1771,1280,2*DVI-D / 1*HDMI / 1*DP,1*8pin,30.2,4,9990
100,ZOTAC ,GTX 1060,1708,1152,1*DVI-D / 1*HDMI / 3*DP,1*6pin,17.4,4,6190
101,ZOTAC ,GTX 1060,1708,1280,1*DVI-D / 1*HDMI / 3*DP,1*6pin,17.4,4,6990
102,ZOTAC ,GTX 1060,1771,1280,1*DVI-D / 1*HDMI / 3*DP,1*6pin,21,4,7880
103,技嘉 ,GTX 1070,1746,1920,1*DVI-D / 1*HDMI / 3*DP,1*8pin,28,4,13900
104,影馳 ,GTX 1070,1708,1920,1*DVI-D / 1*HDMI / 3*DP,1*6pin + 1*8pin,29.6,3,10790
105,INNO3D ,GTX 1070,1683,1920,1*DVI-D / 1*HDMI / 1*DP,1*6pin + 1*8pin,26.6,3,12390
106,INNO3D ,GTX 1070,1822,1920,1*DVI-D / 1*HDMI / 3*DP,1*6pin + 1*8pin,30.2,4,12490
107,影馳 ,GTX 1070 Ti,1683,2432,1*DVI-D / 1*HDMI / 3*DP,1*6pin + 1*8pin,29.6,3,13890
108,影馳 ,GTX 1070 Ti,1683,2432,1*DVI-D / 1*HDMI / 3*DP,1*6pin + 1*8pin,30,3,14890
109,技嘉 ,GTX 1080 Ti,1721,3584,1*DVI-D / 1*HDMI / 3*DP,2*8pin,26.7,5,33490
110,華碩,RTX 2070,1620,2304,1*HDMI /3*DP/1*USB Type-C,1*6pin + 1*8pin,26.8,4,16990
111,華碩,RTX 2070,1620,2304,1*HDMI /2*DP/1*USB Type-C,1*6pin + 1*8pin,26.8,4,18890
112,華碩,RTX 2070,1635,2304,1*HDMI /3*DP/1*USB Type-C,1*6pin + 1*8pin,26.8,4,19290
113,華碩,RTX 2070,1710,2304,1*HDMI /3*DP/1*USB Type-C,1*6pin + 1*8pin,26.8,4,19890
114,華碩,RTX 2070,1815,2304,2*HDMI / 2*DP/1*USB Type-C,1*6pin + 1*8pin,30,5,21390
115,微星 ,RTX 2070,1620,2304,1*HDMI /3*DP,1*8pin,22.6,4,16890
116,微星 ,RTX 2070,1620,2304,1*HDMI /3*DP/1*USB Type-C,1*6pin + 1*8pin,26.8,4,16990
117,微星 ,RTX 2070,1620,2304,1*HDMI /3*DP/1*USB Type-C,1*6pin + 1*8pin,30.9,4,18400
118,微星 ,RTX 2070,1740,2304,1*HDMI /3*DP/1*USB Type-C,1*6pin + 1*8pin,30.9,4,19400
119,微星 ,RTX 2070,1620,2304,1*HDMI /3*DP/1*USB Type-C,1*6pin + 1*8pin,30.7,4,19400
120,微星 ,RTX 2070,1830,2304,1*HDMI /3*DP/1*USB Type-C,1*6pin + 1*8pin,30.7,4,20400
121,技嘉 ,RTX 2070,1620,2304,1*HDMI /3*DP/1*USB Type-C,1*6pin + 1*8pin,28,4,17490
122,技嘉 ,RTX 2070,1620,2304,1*HDMI /3*DP/1*USB Type-C,1*6pin + 1*8pin,28,5,18490
123,技嘉 ,RTX 2070,1725,2304,1*HDMI /3*DP/1*USB Type-C,1*6pin + 1*8pin,28,5,19990
124,技嘉 ,RTX 2070,1725,2304,1*HDMI /3*DP/1*USB Type-C,1*6pin + 1*8pin,28,5,19990
125,技嘉 ,RTX 2070,1770,2304,1*HDMI /3*DP/1*USB Type-C,1*6pin + 1*8pin,29,5,21490
126,技嘉 ,RTX 2070,1815,2304,1*HDMI /3*DP/1*USB Type-C,1*6pin + 1*8pin,29,5,22490
127,EVGA ,RTX 2070,1620,2304,1*DVI-D/1*HDMI/2*DP/1*Type-C,1*8pin,26.9,5,16990
128,EVGA ,RTX 2070,1620,2304,1*HDMI /3*DP/1*USB Type-C,1*6pin + 1*8pin,26.9,5,17990
129,EVGA ,RTX 2070,1710,2304,1*HDMI /3*DP/1*USB Type-C,1*6pin + 1*8pin,26.9,5,18490
130,EVGA ,RTX 2070,1725,2304,1*HDMI /3*DP/1*USB Type-C,1*6pin + 1*8pin,26.9,5,19490
131,INNO3D ,RTX 2070,1620,2304,1*DVI-D / 1*HDMI / 2*DP/1*USB Type-C,1*8pin,19.6,3,16790
