"83","MSI","RX 550","2G","1203","50","512","1*DVI-D / 1*HDMI","NO","15.5","3","3190","125","20.90","14"
"84","ASUS","RX 550","4G","1183","50","640","1*DVI-D / 1*HDMI / 1*DP","NO","19.2","4","3990","125","20.90","14"
"85","GIGABYTE","RX 550","4G","1195","50","512","1*DVI-D / 1*HDMI / 1*DP","NO","17.0","3","3250","125","20.90","14"
"86","PowerColor","RX 560","2G","1176","80","896","1*DVI-D / 1*HDMI / 1*DP","NO","22.5","3","3790","86","31.00","13"
"87","PowerColor","RX 560","4G","1176","80","896","1*DVI-D / 1*HDMI / 1*DP","NO","22.5","3","4570","86","31.00","13"
"88","GIGABYTE","RX 560","4G","1224","80","1024","1*DVI-D / 1*HDMI / 1*DP","NO","19.0","4","4650","86","31.00","13"
"89","MSI","RX 560","4G","1196","80","1024","1*DVI-D / 1*HDMI / 1*DP","NO","15.5","4","4790","86","31.00","13"
"9","ASUS","GT 710","1G","954","19","192","1*VGA / 1*DVI-D / 1*HDMI","NO","13.5","4","1290","347","4.55","17"
"90","PowerColor","RX 570","4G","1322","150","2048","1*DVI-D / 1*HDMI / 3*DP","1*8pin","31.0","3","3990","47","61.20","11"
"91","ASUS","RX 570","4G","1300","150","2048","2*DVI-D / 1*HDMI / 1*DP","1*8pin","24.0","5","4390","47","61.20","11"
"92","ASUS","RX 570","8G","1256","150","2048","1*DVI-D / 1*HDMI / 1*DP","1*8pin","24.0","4","4990","47","61.20","11"
"93","GIGABYTE","RX 570","8G","1244","150","2048","1*DVI-D","1*8pin","23.2","3","4990","47","61.20","11"
"94","MSI","RX 570","8G","1268","150","2048","1*DVI-D / 2*HDMI / 2*DP","1*8pin","27.0","4","5790","47","61.20","11"
"95","PowerColor","RX 580","4G","1350","185","2304","1*DVI-D / 1*HDMI / 3*DP","1*8pin","25.5","3","5990","36","70.00","9"
"96","ASUS","RX 580","4G","1360","185","2304","1*DVI-D / 2*HDMI / 2*DP","1*8pin","24.2","4","4990","36","70.00","9"
"97","ASUS","RX 580","8G","1360","185","2304","1*DVI-D / 2*HDMI / 2*DP","1*8pin","29.8","5","8990","36","70.00","9"
"98","GIGABYTE","RX 580","8G","1365","185","2304","1*DVI-D / 1*HDMI / 3*DP","1*8pin","23.2","5","6390","36","70.00","9"
"99","MSI","RX 580","8G","1366","185","2304","1*DVI-D / 2*HDMI / 2*DP","1*8pin","26.9","4","6990","36","70.00","9"
