,brand,name,cpu_type,size,display_port,storage,built_in,network,warranty,price
232,技嘉,B450 AORUS M,AM4,M-ATX,1*DVI-D / 1*HDMI,1*M.2 / 6*SATA3,USB 3.1 Gen2,Realtek Gigabit LAN,註冊五年,2890
233,技嘉,B450 I AORUS PRO WIFI,AM4,mini-ITX,1*HDMI / 1*DP,1*M.2 / 4*SATA3,USB 3.1 Gen2,Intel Gigabit LAN / ac+BT 5.0,註冊五年,3890
234,技嘉,B450 AORUS ELITE 翼力特,AM4,ATX,1*DVI-D / 1*HDMI,1*M.2 / 6*SATA3,USB 3.1 Gen1,Realtek Gigabit LAN,註冊五年,3190
235,技嘉,B450 AORUS PRO WIFI,AM4,ATX,1*DVI-D / 1*HDMI,2*M.2 / 6*SATA3,USB 3.1 Gen2,Intel Gigabit LAN / ac+BT 4.2,註冊五年,3790
236,微星,B450M PRO-M2,AM4,M-ATX,1*VGA / 1*DVI-D / 1*HDMI,1*M.2 / 4*SATA3,USB 3.1 Gen1,Realtek Gigabit LAN,註冊四年,2590
237,微星,B450M PRO-M2(M-ATX/1A1D1H) + R3 2200G代,AM4,M-ATX,1*VGA / 1*DVI-D / 1*HDMI,1*M.2 / 4*SATA3,USB 3.1 Gen1,Realtek Gigabit LAN,註冊四年,5390
238,微星,B450M PRO-VDH,AM4,M-ATX,1*VGA / 1*DVI-D / 1*HDMI,1*M.2 / 4*SATA3,USB 3.1 Gen1,Realtek Gigabit LAN,註冊四年,2690
239,微星,B450M PRO-VDH(M-ATX/1A1D1H) + R5 2400G代,AM4,M-ATX,1*VGA / 1*DVI-D / 1*HDMI,1*M.2 / 4*SATA3,USB 3.1 Gen1,Realtek Gigabit LAN,註冊四年,7590
240,微星,B450M BAZOOKA,AM4,M-ATX,1*DVI-D / 1*HDMI,1*M.2 / 4*SATA3,USB 3.1 Gen1,Realtek Gigabit LAN,註冊五年,2950
241,微星,B450M MORTAR TITANIUM,AM4,M-ATX,1*HDMI / 1*DP,2*M.2 / 4*SATA3,USB 3.1 Gen2,Realtek Gigabit LAN,註冊五年,2990
242,微星,B450 TOMAHAWK,AM4,ATX,1*DVI-D / 1*HDMI,1*M.2 / 6*SATA3,USB 3.1 Gen2,Realtek Gigabit LAN,註冊五年,3690
243,微星,B450I GAMING PLUS AC,AM4,mini-ITX,1*HDMI / 1*DP,1*M.2 / 4*SATA3,USB 3.1 Gen1,Intel Gigabit LAN / ac+BT 4.2,註冊五年,3990
244,微星,B450 GAMING PLUS,AM4,ATX,1*DVI-D / 1*HDMI,1*M.2 / 6*SATA3,USB 3.1 Gen2,Realtek Gigabit LAN,註冊五年,3390
245,微星,B450 GAMING PRO CARBON AC,AM4,ATX,1*HDMI / 1*DP,2*M.2 / 6*SATA3,USB 3.1 Gen2,Intel Gigabit LAN / ac+BT 4.2,註冊五年,4090
246,微星,B450 GAMING PRO CARBON AC(ATX)+R5 2600代,AM4,ATX,1*HDMI / 1*DP,2*M.2 / 6*SATA3,USB 3.1 Gen2,Intel Gigabit LAN / ac+BT 4.2,註冊五年,9990
247,華擎,B450M-HDV,AM4,M-ATX,1*VGA / 1*DVI-D / 1*HDMI,1*M.2 / 4*SATA3,USB 3.1 Gen1,Realtek Gigabit LAN,註冊四年.365天換新,2100
248,華擎,B450M Pro4,AM4,M-ATX,1*VGA / 1*DVI-D / 1*HDMI,2*M.2 / 4*SATA3,USB 3.1 Gen2,Realtek Gigabit LAN,註冊四年.365天換新,2550
249,華擎,Fatal1ty B450 Gaming K4,AM4,ATX,1*VGA / 1*HDMI / 1*DP,2*M.2 / 6*SATA3,USB 3.1 Gen2,Realtek Gigabit LAN,註冊四年.365天換新,2990
250,華碩,PRIME X470-PRO,AM4,ATX,1*HDMI / 1*DP,2*M.2 / 6*SATA3,USB 3.1 Gen2,Intel Gigabit LAN,註冊四年,5090
